id,host_id,host_name,latitude,longitude,room_type,price,availability_365
268398,979363,Donovan,51.50287,-0.10937,Private room,$49.00,309
269065,1409580,Kate,51.50669,-0.33013,Private room,$32.00,137
270600,1416605,Emma,51.44311,-0.33245,Entire home/apt,$75.00,68
98541,519891,Alicja,51.57271,-0.13948,Entire home/apt,$99.00,352
354003,1792369,Eleonor,51.49117,-0.18766,Entire home/apt,$200.00,155
271815,444388,Marie,51.5208,-0.20577,Entire home/apt,$149.00,167
99742,525075,Katarina,51.50134,-0.22922,Private room,$350.00,365
274740,1436390,Maria,51.473328,-0.183576,Entire home/apt,$160.00,211
274918,381894,Eddy,51.42229,-0.178,Entire home/apt,$110.00,365
356073,862386,Veneranda And Leo,51.5211,0.02354,Private room,$40.00,40
102565,536025,Anne,51.50551,-0.10952,Private room,$115.00,158
275140,1438437,D.C.,51.43951,-0.05175,Entire home/apt,$120.00,242
276888,381894,Eddy,51.42328,-0.17789,Entire home/apt,$150.00,343
103865,492218,Richard,51.4866,-0.22458,Private room,$103.00,355
369383,493497,Clive,51.54105,-0.14275,Entire home/apt,$335.00,60
277580,381894,Eddy,51.49254,-0.30935,Entire home/apt,$129.00,342
362026,1810850,Kit,51.60058,-0.11469,Private room,$120.00,362
280234,1365824,Helen,51.51191,-0.13032,Private room,$90.00,306
280894,1464452,Maria And Rino,51.49777,-0.09097,Entire home/apt,$149.00,37
374493,1883830,Aisling & Matt,51.52899,-0.03612,Entire home/apt,$100.00,221
282198,1413029,Lucy,51.52361,-0.11591,Private room,$120.00,258
363648,1836808,Di,51.42681,0.00684,Private room,$87.00,365
283569,1476754,Nina,51.5067,-0.24775,Entire home/apt,$93.00,72
363749,1836808,Di,51.42875,0.00864,Private room,$86.00,365
375657,1554514,Sandy,51.50146,-0.24997,Private room,$97.00,265
365069,710493,Marsha,51.54941,-0.18289,Entire home/apt,$101.00,284
375799,1889832,Glynis,51.4041,-0.25129,Entire home/apt,$80.00,305
365933,1847762,D & D,51.48621,-0.12126,Entire home/apt,$98.00,43
377982,1878852,Alienor & Piers,51.49903,-0.13648,Entire home/apt,$164.00,182
412058,1764906,Jon,51.52588,-0.08098,Entire home/apt,$507.00,347
412059,1764906,Jon,51.52591,-0.07978,Entire home/apt,$507.00,347
412807,2053887,Danny,51.52135,-0.11113,Private room,$42.00,110
369034,1861649,Vicky,51.48864,-0.21614,Private room,$65.00,45
378551,1901556,Marianne,51.48143,-0.26897,Entire home/apt,$114.00,241
460934,1950414,Annette,51.42576,-0.20537,Private room,$55.00,315
379053,1903473,Suzanne,51.55301,-0.07762,Private room,$49.00,227
415825,1302946,Robin,51.55305,-0.12231,Entire home/apt,$130.00,342
460935,1950414,Annette,51.4247,-0.20213,Private room,$55.00,333
460936,1950414,Annette,51.42418,-0.2068,Private room,$55.00,314
379060,892187,Wayne,51.48394,-0.19872,Entire home/apt,$95.00,157
460938,1950414,Annette,51.42494,-0.20591,Private room,$52.00,345
415926,1956788,Clare,51.51514,-0.19672,Entire home/apt,$98.00,282
416047,2068822,Ming,51.44276,-0.0451,Private room,$29.00,240
379137,1903242,Åsa,51.55508,-0.05801,Entire home/apt,$200.00,59
416238,2069875,Nan And Sam,51.55653,-0.17348,Entire home/apt,$240.00,273
380188,1908027,Louisa,51.45791,-0.32225,Entire home/apt,$353.00,309
461039,2290030,Alicia,51.58523,-0.14065,Entire home/apt,$110.00,175
380714,1909905,Eddie,51.54036,-0.08834,Private room,$59.00,298
461923,2117678,London,51.49271,0.07297,Entire home/apt,$117.00,96
417090,2074413,Francois,51.53899,-0.19744,Entire home/apt,$83.00,244
381005,1911148,Brendan,51.54966,-0.22342,Private room,$40.00,247
417297,1953872,Living In London City,51.49721,-0.01961,Entire home/apt,$300.00,48
461987,2296025,Vanessa,51.54474,-0.06352,Entire home/apt,$150.00,230
381006,1911079,Arvind,51.53108,-0.18058,Entire home/apt,$500.00,365
462476,10130356,Laura,51.47774,-0.0144,Entire home/apt,$85.00,232
462818,2299855,Paul,51.52442,-0.36555,Private room,$48.00,365
418561,2081473,Jenny,51.53672,-0.10073,Private room,$52.00,69
418750,2082540,Grace,51.5231,-0.21624,Entire home/apt,$155.00,256
464370,1429305,Hossam,51.46713,-0.15062,Entire home/apt,$199.00,292
381741,1907299,Hazel,51.53394,-0.24505,Entire home/apt,$155.00,202
464579,2308769,Craig & Sarah,51.4818,-0.01268,Entire home/apt,$160.00,85
418857,1952761,Lucy,51.55779,-0.06924,Private room,$120.00,365
381916,1890206,Francien,51.4435,-0.1294,Private room,$70.00,88
419786,2087745,Tony,51.47553,0.05903,Entire home/apt,$250.00,365
382634,1917784,Faisal,51.55779,-0.01098,Private room,$113.00,342
420083,351018,John And Sarah,51.42257,-0.01299,Private room,$65.00,53
383382,1890206,Francien,51.45045,-0.12258,Private room,$70.00,103
464922,2249322,Theresa,51.46104,-0.01957,Private room,$35.00,240
383416,1890206,Francien,51.44739,-0.12319,Private room,$65.00,110
465361,761655,Adriana,51.45919,-0.11971,Private room,$28.00,316
465435,2311270,Simon,51.49055,-0.11158,Private room,$72.00,117
384770,1926757,Jonathan,51.50372,-0.22123,Entire home/apt,$120.00,176
384780,1920828,Marcus,51.54146,-0.13735,Entire home/apt,$172.00,316
465781,2277549,Alec,51.51195,0.1266,Private room,$30.00,246
422308,2100335,Renja,51.56894,-0.07972,Entire home/apt,$63.00,252
387835,1940607,Graham,51.42863,-0.34688,Private room,$39.00,307
422748,968464,Catia,51.38533,-0.12706,Private room,$19.00,194
387935,1941155,Nynke,51.56038,-0.06448,Private room,$75.00,345
469125,2328569,Valentina,51.56645,-0.06199,Entire home/apt,$85.00,300
387951,1941211,"Cheryl, Anna ,Lee",51.53723,-0.11254,Private room,$122.00,347
426354,2119740,André,51.52538,-0.21057,Entire home/apt,$180.00,311
469187,1952786,Anne,51.47537,-0.16432,Private room,$60.00,289
388030,1941593,Susan,51.50331,-0.24071,Private room,$40.00,285
469189,1952786,Anne,51.47503,-0.1624,Entire home/apt,$160.00,294
427229,2087745,Tony,51.47574,0.05733,Private room,$150.00,365
388032,1941593,Susan,51.5033,-0.24057,Private room,$40.00,285
427327,2124088,Corrine,51.52412,-0.07869,Entire home/apt,$155.00,224
427348,2124185,Graham & Ivano,51.46837,-0.09851,Entire home/apt,$100.00,87
469198,1405621,Claudius,51.52736,-0.07776,Entire home/apt,$279.00,285
469219,2328878,Nicki,51.53555,-0.07516,Private room,$55.00,253
388306,1942893,Nigel,51.4603,-0.22061,Private room,$908.00,365
469630,2330358,Tomaz,51.55379,0.03085,Shared room,$23.00,314
427936,2126954,Carmen,51.54544,-0.07344,Private room,$60.00,48
388387,1943308,Maurizio,51.61587,0.0468,Private room,$50.00,180
469676,2330517,Andrew,51.46979,-0.14133,Entire home/apt,$99.00,270
388674,1944777,Geraldine,51.60525,-0.14453,Private room,$23.00,305
470205,2332880,Monica,51.42235,-0.21414,Entire home/apt,$175.00,365
388721,1944988,Lena,51.56108,-0.07883,Entire home/apt,$155.00,219
388743,1945054,Jennifer,51.45586,0.01176,Private room,$80.00,365
471228,745846,James,51.40836,-0.21585,Private room,$36.00,151
428716,2128446,Betty,51.58733,-0.00345,Private room,$65.00,359
388995,1946207,Anandraj,51.59075,0.08111,Private room,$150.00,365
429045,2132532,Vv,51.46929,-0.00834,Entire home/apt,"$1,500.00",365
471753,2339612,Harvey,51.54772,0.04421,Private room,$95.00,365
389079,1946664,Philip,51.51127,-0.03934,Private room,$31.00,46
472185,2341641,Eric,51.55306,0.00929,Private room,$42.00,325
389108,1946827,Rachel,51.59322,-0.18292,Private room,$400.00,364
389125,1946900,David,51.53707,-0.19483,Private room,$82.00,340
389544,1948909,Sarah,51.40091,-0.20205,Private room,$45.00,206
389570,1949033,Raphael,51.59707,-0.10448,Private room,$48.00,314
473145,2346254,Matthew,51.49231,-0.10443,Entire home/apt,$260.00,102
389747,1949877,NokuMary,51.43093,-0.08233,Private room,$230.00,365
432795,507972,Maryam,51.49956,-0.2127,Entire home/apt,$115.00,314
389862,1950478,Alison,51.56958,-0.14615,Private room,$35.00,151
432841,2151378,Simon,51.53335,-0.07346,Private room,$96.00,277
389967,1950992,Frances,51.41893,-0.23555,Private room,$85.00,221
390316,1952637,Blair,51.50275,-0.08849,Private room,$95.00,332
