id,last_scraped,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,reviews_per_month
40583137,2021-09-11,73186946,Sally,f,1.0,1.0,51.48824,-0.12151,Private room in rental unit,Private room,2,$45.00,2,1125,70,6,2020-02-02,2020-03-02,5.0,0.31
40586290,2021-09-11,314485223,Ndidi,f,1.0,1.0,51.51886,-0.14109,Private room in rental unit,Private room,1,$85.00,1,14,179,1,2019-12-15,2019-12-15,5.0,0.05
40586934,2021-09-12,314489836,Sean,f,0.0,0.0,51.41792,-0.31898,Entire rental unit,Entire home/apt,2,$60.00,60,61,69,1,2020-01-05,2020-01-05,5.0,0.05
40598773,2021-09-12,8834053,Sam,f,1.0,1.0,51.38926,-0.30717,Tiny house,Entire home/apt,4,$150.00,2,1125,337,12,2020-08-08,2021-08-27,5.0,0.9
40603975,2021-09-11,21867370,Robert,f,36.0,36.0,51.4864,-0.09413,Entire rental unit,Entire home/apt,6,$96.00,3,999,269,8,2020-03-07,2021-06-13,3.88,0.43
40605254,2021-09-11,138878486,Oliver,t,16.0,16.0,51.54263,-0.09895,Entire rental unit,Entire home/apt,4,$242.00,4,1125,334,1,2021-07-31,2021-07-31,5.0,0.7
40605489,2021-09-11,110181866,Tricia,f,9.0,9.0,51.45946,-0.10822,Entire rental unit,Entire home/apt,4,$112.00,2,1125,135,21,2020-08-14,2021-08-16,4.43,1.6
40607771,2021-09-11,314666886,Harrison,f,4.0,4.0,51.49011,-0.14252,Room in boutique hotel,Private room,2,$104.00,1,99,308,7,2020-01-02,2021-04-14,3.86,0.34
40608370,2021-09-12,314616027,Constance,f,1.0,1.0,51.48051,0.0649,Entire rental unit,Entire home/apt,2,$40.00,1,1125,69,8,2020-01-03,2020-04-16,4.88,0.39
40610126,2021-09-11,314648341,Nicolas,f,1.0,1.0,51.5175,-0.20535,Entire residential home,Entire home/apt,2,$260.00,5,1125,151,1,2020-01-04,2020-01-04,5.0,0.05
40611116,2021-09-11,5680663,Keirion,t,0.0,0.0,51.5242,-0.12477,Entire rental unit,Entire home/apt,6,$180.00,3,1125,197,17,2020-02-09,2020-03-27,4.94,0.88
40614946,2021-09-11,125392965,Lawrence,f,16.0,16.0,51.4937,-0.26796,Entire rental unit,Entire home/apt,4,$239.00,3,1125,46,1,2020-02-08,2020-02-08,5.0,0.05
40616132,2021-09-11,13557337,Kindle Assets,f,219.0,219.0,51.51826,-0.06083,Private room in rental unit,Private room,2,$45.00,1,1125,365,4,2020-08-23,2021-07-29,3.5,0.31
40618900,2021-09-11,20422553,Kamal,f,43.0,43.0,51.52218,-0.02951,Entire rental unit,Entire home/apt,4,$79.00,5,90,63,7,2019-12-17,2021-06-05,4.86,0.33
40619070,2021-09-11,13557337,Kindle Assets,f,219.0,219.0,51.51971,-0.06246,Private room in rental unit,Private room,6,$70.00,2,1125,271,1,2021-05-31,2021-05-31,5.0,0.29
40627320,2021-09-11,13557337,Kindle Assets,f,219.0,219.0,51.53232,-0.07195,Private room in rental unit,Private room,2,$45.00,2,1125,338,3,2019-12-10,2020-01-02,4.33,0.14
40627954,2021-09-12,314977655,Don,f,0.0,0.0,51.49455,0.07818,Private room in rental unit,Private room,2,$42.00,3,1125,86,1,2019-12-17,2019-12-17,5.0,0.05
40629309,2021-09-12,228381582,Nadir Daniel,t,8.0,8.0,51.53498,0.00253,Private room in residential home,Private room,2,$35.00,1,90,164,19,2020-01-22,2020-03-14,4.68,0.95
40630542,2021-09-12,314992587,Sally,f,0.0,0.0,51.37763,-0.28229,Private room in residential home,Private room,2,$30.00,1,90,346,10,2019-12-13,2021-09-04,4.7,0.47
40631907,2021-09-11,314695908,Philip,t,0.0,0.0,51.50434,-0.0831,Entire rental unit,Entire home/apt,2,$190.00,3,31,272,10,2020-02-15,2020-02-29,4.7,0.52
40633458,2021-09-11,315020869,Charleen,f,0.0,0.0,51.51275,-0.01631,Entire rental unit,Entire home/apt,2,$50.00,5,30,315,1,2020-01-04,2020-01-04,5.0,0.05
40634544,2021-09-11,20082950,Suley,f,0.0,0.0,51.52099,-0.0408,Entire rental unit,Entire home/apt,4,$170.00,2,1125,72,3,2020-10-24,2021-08-30,5.0,0.28
40636594,2021-09-11,311778294,Grace,f,2.0,2.0,51.49049,-0.0383,Private room in bed and breakfast,Private room,2,$58.00,3,1125,328,2,2020-01-01,2019-12-17,3.5,0.1
40644747,2021-09-12,314679217,Kafilat,f,0.0,0.0,51.54677,0.15301,Private room in residential home,Private room,1,$36.00,1,3,89,1,2020-01-17,2020-01-17,5.0,0.05
40645822,2021-09-12,256055260,Daniel,f,2.0,2.0,51.4964,0.01263,Entire rental unit,Entire home/apt,2,$225.00,1,1125,179,10,2019-12-22,2020-08-19,4.2,0.48
40646801,2021-09-12,216034558,Tsehay,t,1.0,1.0,51.53284,-0.39521,Entire rental unit,Entire home/apt,1,$46.00,1,1125,333,5,2020-01-01,2021-04-10,4.2,0.24
40647259,2021-09-12,31931794,Marc,f,1.0,1.0,51.52853,0.04586,Private room in residential home,Private room,2,$30.00,1,1125,308,3,2020-09-04,2021-07-19,5.0,0.24
40647405,2021-09-11,88529070,Grace,f,3.0,3.0,51.47947,-0.09938,Private room in rental unit,Private room,2,$90.00,2,1125,365,2,2019-12-17,2020-01-20,5.0,0.09
40656954,2021-09-11,258580205,Sverrir & Vesta,f,51.0,51.0,51.49059,-0.1834,Entire rental unit,Entire home/apt,4,$275.00,2,1125,39,1,2019-12-21,2019-12-21,0.0,0.05
40657332,2021-09-11,258580205,Sverrir & Vesta,f,51.0,51.0,51.48149,-0.1966,Entire rental unit,Entire home/apt,3,$229.00,2,1125,39,1,2020-01-07,2020-01-07,5.0,0.05
40658822,2021-09-12,143985029,Valentine,t,22.0,22.0,51.38818,-0.07466,Entire residential home,Entire home/apt,5,$129.00,3,365,357,4,2019-12-29,2020-08-02,5.0,0.19
40663508,2021-09-11,258580205,Sverrir & Vesta,f,51.0,51.0,51.49193,-0.1679,Entire rental unit,Entire home/apt,4,$325.00,2,1125,39,1,2019-12-29,2019-12-29,5.0,0.05
40667491,2021-09-11,88529070,Grace,f,3.0,3.0,51.48092,-0.09994,Private room in rental unit,Private room,2,$90.00,2,1125,365,2,2019-12-31,2020-01-01,4.5,0.1
40669711,2021-09-11,12754357,Moshe,f,6.0,6.0,51.51368,-0.16293,Entire rental unit,Entire home/apt,6,$222.00,2,365,55,2,2021-08-01,2021-09-01,5.0,1.43
40672349,2021-09-11,6739559,Panos,f,1.0,1.0,51.52123,-0.01724,Private room in rental unit,Private room,2,$65.00,4,1125,142,1,2020-01-01,2020-01-01,5.0,0.05
40675787,2021-09-11,2043043,Jurgita,f,12.0,12.0,51.52005,-0.14232,Entire rental unit,Entire home/apt,3,$86.00,2,360,242,63,2020-08-06,2021-05-29,4.56,4.7
40676826,2021-09-11,313327550,Hieu,f,1.0,1.0,51.55578,-0.07062,Entire rental unit,Entire home/apt,4,$112.00,1,1,172,1,2019-12-28,2019-12-28,5.0,0.05
40677807,2021-09-11,4439257,Jasmina,f,11.0,11.0,51.50342,-0.21778,Private room in rental unit,Private room,1,$40.00,5,93,148,3,2020-01-03,2021-08-15,5.0,0.15
40678234,2021-09-11,144580633,Stefany,f,6.0,6.0,51.53161,-0.09876,Entire condominium (condo),Entire home/apt,4,$111.00,2,30,47,5,2020-03-01,2021-07-07,4.6,0.27
40678316,2021-09-11,6479237,Nikki,t,3.0,3.0,51.51401,-0.20602,Entire rental unit,Entire home/apt,3,$79.00,3,700,274,4,2020-03-11,2021-08-02,4.75,0.22
40688617,2021-09-11,315794018,Base,f,0.0,0.0,51.53798,-0.07781,Entire rental unit,Entire home/apt,2,$76.00,7,28,30,4,2019-12-30,2020-01-02,4.75,0.19
40693643,2021-09-11,314434716,Matthew,f,0.0,0.0,51.51712,-0.06704,Entire rental unit,Entire home/apt,4,$123.00,2,365,345,1,2020-01-06,2020-01-06,5.0,0.05
40694918,2021-09-12,232917451,Patricia,f,3.0,3.0,51.46327,0.17403,Private room in residential home,Private room,1,$27.00,1,1125,346,1,2020-01-02,2020-01-02,4.0,0.05
40695087,2021-09-11,20001519,VanZyl,t,51.0,51.0,51.50039,-0.08374,Entire rental unit,Entire home/apt,4,$213.00,1,1125,281,13,2020-01-21,2021-08-16,5.0,0.65
40695894,2021-09-11,305845459,Alesia,f,0.0,0.0,51.55111,-0.04908,Private room in residential home,Private room,2,$245.00,1,1125,82,8,2020-01-26,2021-02-11,4.13,0.4
40697341,2021-09-11,42653212,Cindy,f,47.0,47.0,51.49304,-0.16589,Entire rental unit,Entire home/apt,4,$173.00,3,90,344,3,2020-03-26,2021-08-23,5.0,0.17
40697645,2021-09-12,260550152,Elizabeth,f,0.0,0.0,51.5448,0.01556,Private room in residential home,Private room,1,$25.00,1,1125,337,10,2020-08-14,2021-09-02,5.0,0.76
40701455,2021-09-11,6456950,Almudena,f,0.0,0.0,51.47588,-0.17349,Private room in rental unit,Private room,2,$40.00,1,1125,81,13,2020-01-30,2020-03-15,4.62,0.66
40705761,2021-09-11,8096178,Katie,f,1.0,1.0,51.54351,-0.08843,Private room in rental unit,Private room,1,$53.00,2,1125,347,11,2019-12-17,2020-01-21,4.91,0.52
40714790,2021-09-11,244504817,Jake,f,2.0,2.0,51.49102,-0.16563,Entire rental unit,Entire home/apt,2,$85.00,3,1125,346,5,2020-08-01,2021-04-27,5.0,0.37
40717411,2021-09-12,25423352,TheSquare,f,11.0,11.0,51.47028,-0.36509,Entire serviced apartment,Entire home/apt,2,$111.00,7,1125,345,1,2021-05-31,2021-05-31,4.0,0.29
40720057,2021-09-11,38995366,Diego,f,4.0,4.0,51.4633,-0.16229,Entire serviced apartment,Entire home/apt,6,$174.00,2,1125,217,4,2020-01-26,2020-03-09,5.0,0.2
40721576,2021-09-12,241915474,Franklin,f,6.0,6.0,51.52066,0.00732,Private room in residential home,Private room,2,$28.00,1,7,347,17,2020-02-19,2020-04-29,4.76,0.89
40721870,2021-09-11,181038306,Jelena,f,2.0,2.0,51.51169,-0.0258,Private room in hostel,Private room,1,$45.00,1,300,284,2,2021-06-30,2021-07-09,4.5,0.81
40722779,2021-09-11,126902192,Andrew,f,2.0,2.0,51.51795,-0.16429,Entire residential home,Entire home/apt,4,$117.00,3,365,314,25,2020-01-31,2021-04-14,4.52,1.27
